"date","c.hp1","c.hp3k1","c.hp25k1","c.hp125k1","c.hp221k1","c.hp400k1","c.hamilton13t1","c.hamilton20t1","c.hamilton24t1","c.hamilton28t1","c.linear2","c.quad2","c.poly3","c.poly4","c.poly5","c.poly6","c.bn2","c.bn3","c.bn4","c.stm1","c.ma1"
1982-01-01,-0.577160960939892,-0.791223653282145,-3.78805762618092,-6.34296312680945,-6.84806299206033,-7.18222410721052,-3.81072078370649,-3.43021153327169,-2.02291969206468,-0.619912395507924,-4.57260960439174,-0.87649769585255,1.22732261018551,-1.98410628350148,-4.26311811683739,-1.89731293539592,-3.74569912336139,-4.45243756763528,2.99725079401147,-6.64228843403359,-2.84374999999999
1982-04-01,-1.49796564824321,-1.71084669813001,-4.72036741749353,-7.4235817488468,-7.97307449536234,-8.33943385092928,-4.3402360738712,-4.41701589982473,-2.27677147582719,-1.38816990211242,-4.45437307987709,-1.42999084249082,0.697990897990877,-2.36753909440479,-4.06247738305733,-1.17128713335927,-3.43552657360197,-4.83888043168939,-5.71618460949258,-7.71287289997352,-3.81874999999999
1982-07-01,-2.04072437016649,-2.2768244444257,-5.34653477195833,-8.21916102016739,-8.81907613192631,-9.22220495813797,-6.85945091085073,-7.01541444632149,-3.26701214486948,-3.0019100621961,-4.65565934065933,-2.91953452797203,-0.61357047802943,-3.37248599595092,-4.38239565145319,-0.96645094859818,-4.23754549894019,-8.18134462364102,-13.4937674222514,-8.49279615914342,-5.85624999999999
1982-10-01,-3.38834535451097,-3.69763480677875,-6.94630211264476,-10.0430553379305,-10.7060742720592,-11.1550689583202,-9.171810026746,-8.43244758576998,-4.11117884895936,-3.79411334490329,-5.15723776223776,-3.91253731343285,-1.33945701357467,-3.72373933277467,-4.06192626551238,-0.239031865029389,-8.91904224098932,-7.50418941342507,-13.0165036595411,-10.2918299933675,-7.46249999999999
1983-01-01,-4.15011964466652,-4.56200469723819,-8.06615500044046,-11.4272076858934,-12.1639933498668,-12.6668284038067,-9.38509806368697,-9.11439328595456,-4.34547061770841,-3.40516556824835,-4.83282886267958,-4.0330154042621,-1.19995268947059,-3.25964949722436,-3.0642411332593,0.940248738460539,-7.11538483797417,-11.4164051221691,-9.59463392941275,-11.6428752366616,-8.20624999999998
1983-04-01,-4.02679291464086,-4.53947840913733,-8.30372211599474,-11.939499510965,-12.7555245049149,-13.3168986575869,-7.32994160444896,-8.17350037404634,-4.86588387901739,-2.13292969683481,-4.64256125788172,-2.51752872466314,0.405397564606631,-1.56063859586116,-1.14308336563641,2.68097711774374,-3.7993554101951,-5.5650121240436,-8.10925539027401,-12.1170972888916,-7.18124999999999
1983-07-01,-2.39919107304959,-2.95886452858969,-6.85798671168048,-10.7193198999984,-11.608464747849,-12.2253804253129,-8.27157221972948,-7.97832476675067,-7.54792353697283,-2.58907545999453,-4.60730427148147,-1.76373766898064,1.1684063460044,-0.807150318792537,-0.302289306028598,3.21314060430825,1.10627190542186,-4.4351823870448,-8.08573878291067,-10.8618090050057,-6.82499999999997
1983-10-01,-1.603996783448,-2.18243723097578,-6.15061620430187,-10.211619771521,-11.171932436948,-11.8441897997779,-7.73896105407208,-6.44985336598661,-5.04847222269399,-2.04428537324095,-4.79987821215444,0.423917417548779,3.15195034943964,0.923109166547164,1.24981657243806,4.22050481858594,-1.02412738360531,0.822365426222709,-3.73859744471958,-10.3194226082429,-4.88124999999998
1984-01-01,0.426624309235805,-0.10084736478899,-3.96276274514261,-8.14323257559906,-9.16131365410648,-9.88088369366736,-7.7611644629848,-5.94154583922784,-2.99117806230277,-4.13026009767447,-4.14284839471613,1.75518108651913,4.1654277261744,1.58057784569945,1.64933057508324,4.06428046334884,3.53989737825927,-0.996196124982356,1.05615227461987,-8.22524811261724,-3.74374999999999
1984-04-01,1.48084453930355,1.04193522381536,-2.60960918675606,-6.85621329362158,-7.92325940393059,-8.68511209006925,-6.27076328355439,-3.47801243151007,-0.832414441693359,-0.94568127789583,-3.61378269617704,4.61648659077755,6.45975495078329,3.27205780157935,2.86179537051997,4.57404410249205,2.49374693467506,2.38164820072197,-0.0399718396014215,-6.91800036900588,-0.881249999999994
